Depth,GR,RT,RHOB,NPHI,Facies
3352.5,30.8324,0.393,2.2377,0.2273,SS
3353.0,28.5795,0.371,2.2754,0.2229,SS
3353.5,35.55,0.3401,2.3827,0.2443,CB
3354.5,56.283,0.358,2.4159,0.4251,SH
3355.0,49.4914,0.366,2.3182,0.4276,SH
3355.5,47.3751,0.6797,2.2653,0.3738,SH
3356.0,50.1948,0.5139,2.3067,0.4275,SH
3356.5,51.0441,1.1165,2.2591,0.3778,SH
3357.0,47.9043,6.5367,2.2636,0.2778,SH
3357.5,41.3096,3.4602,2.3343,0.2993,SH
3358.0,33.2572,1.366,2.2531,0.1178,SS
3358.5,28.8295,1.537,2.1696,0.2245,SS
3359.0,30.1514,1.6138,2.0984,0.273,SS
3359.5,29.6241,2.3407,2.0966,0.2683,SS
3360.0,33.0725,5.2899,2.086,0.2974,SS
3360.5,30.7268,0.4394,2.11,0.2735,SS
3361.0,31.1567,0.4239,2.088,0.2648,SS
3361.5,29.0395,0.3461,2.086,0.2669,SS
3362.0,30.8576,0.295,2.095,0.2678,SS
3362.5,30.4439,0.277,2.09,0.2707,SS
3363.0,31.4006,0.28,2.087,0.2682,SS
3363.5,31.9115,0.282,2.102,0.2654,SS
3364.0,28.8024,0.287,2.128,0.2772,SS
3364.5,31.5112,0.292,2.158,0.2726,SS
3365.0,32.786,0.289,2.129,0.2835,SS
3365.5,28.2989,0.299,2.093,0.2807,SS
3366.0,30.8024,0.293,2.101,0.2663,SS
3366.5,33.2325,0.302,2.133,0.259,SS
3367.0,32.2818,0.302,2.1731,0.2349,SS
3367.5,32.2936,0.308,2.262,0.1961,SS
3368.0,34.3606,0.3,2.5178,0.1626,CB
3368.5,29.5016,0.315,2.4941,0.0976,CB
3369.0,28.151,0.361,2.3501,0.1358,CB
3369.5,29.2106,0.4009,2.301,0.1812,CB
3370.0,30.629,0.495,2.3061,0.1798,SS
3370.5,30.1439,1.3044,2.292,0.1909,SS
3371.0,35.3102,2.0849,2.367,0.1794,SS
3371.5,46.9283,0.7642,2.4921,0.336,SH
3372.0,18.3981,0.818,2.5559,0.1718,SS
3372.5,18.9297,0.9159,2.55,0.1387,CB
3373.0,14.3386,1.136,2.4981,0.1537,CB
3373.5,11.8345,0.9587,2.4172,0.1601,CB
3374.0,12.7385,2.0261,2.407,0.1748,CB
3374.5,14.4438,2.3992,2.454,0.1779,SS
3375.0,12.68,2.2879,2.4829,0.1619,CB
3375.5,17.9254,1.8802,2.6006,0.1436,CB
3376.0,10.805,1.633,2.6338,0.0716,CB
3376.5,6.3305,1.6399,2.6241,0.057,CB
3377.0,6.3118,1.9556,2.5281,0.07,CB
3377.5,5.383999999999999,2.3797,2.542,0.0787,CB
3378.0,7.4663,6.1425,2.559,0.0856,CB
3378.5,12.3822,7.6001,2.3891,0.1391,CB
3379.0,11.0166,5.9288,2.6158,0.172,SS
3379.5,7.1694,9.948,2.637,0.1369,CB
3380.0,9.3448,5.5414,2.472,0.1295,CB
3380.5,12.7206,1.8232,2.472,0.1674,CB
3381.0,9.2185,1.714,2.427,0.1781,CB
3381.5,11.4025,3.6815,2.423,0.1708,CB
3382.0,11.5697,3.1553,2.417,0.1533,CB
3382.5,11.8836,1.6236,2.402,0.1815,CB
3383.0,9.9071,1.622,2.385,0.1751,CB
3383.5,10.9737,1.6009,2.3491,0.1782,SS
3384.0,8.9724,1.5724,2.392,0.1771,SS
3384.5,13.1741,1.568,2.4789,0.1527,CB
3385.0,8.5215,1.4031,2.4222,0.1132,CB
3385.5,13.3609,1.2121,2.432,0.1635,CB
3386.0,12.2888,1.3009,2.4059,0.1934,CB
3386.5,11.1982,3.4172,2.386,0.1914,SS
3387.0,11.6644,1.5027,2.373,0.2068,SS
3387.5,9.6622,1.4849,2.339,0.1921,SS
3388.0,11.4938,1.4909,2.3301,0.1841,SS
3388.5,9.6849,1.365,2.35,0.18,SS
3389.0,12.0003,1.3257,2.3909,0.2285,SS
3389.5,10.6505,1.1572,2.3731,0.2034,SS
3390.0,14.1516,1.0141,2.4001,0.1824,SS
3390.5,15.0194,1.6199,2.457,0.1838,SS
3391.0,14.4199,1.7531,2.383,0.1778,CB
3391.5,13.0632,1.4184,2.339,0.1866,SS
3392.0,14.7245,1.1483,2.3701,0.1989,SS
3392.5,14.7703,1.3297,2.431,0.1865,SS
3393.0,15.807,1.7842,2.44,0.1787,SS
3393.5,15.6107,1.7861,2.4311,0.1816,SS
3394.0,16.778,1.6413,2.4569,0.1876,SS
3394.5,17.7234,1.6447,2.4878,0.1877,SS
3395.0,21.3034,1.529,2.5439,0.1707,SS
3395.5,17.5371,2.2711,2.4151,0.1782,SS
3396.0,19.5195,1.6201,2.4461,0.1702,SS
3396.5,16.6597,1.7647,2.4489,0.1733,SS
3397.0,17.5844,1.7142,2.5041,0.1753,SS
3397.5,19.6298,1.9466,2.5029,0.1638,SS
3398.0,11.4497,2.125,2.479,0.1627,CB
3398.5,13.9778,2.2359,2.451,0.1468,CB
3399.0,12.1507,2.8689,2.455,0.1545,CB
3399.5,10.8161,2.4271,2.4341,0.1215,CB
3400.0,6.034,2.2182,2.646,0.0671,CB
3400.5,10.4173,2.391,2.3713,0.1239,CB
3401.0,8.764,2.6738,2.308,0.1884,SS
3401.5,11.8576,6.641,2.3492,0.1747,SS
3402.0,10.3012,1.4391,2.5697,0.0906,CB
3402.5,7.7223,1.1349,2.5191,0.1201,CB
3403.0,8.1118,1.8113,2.465,0.1324,CB
3403.5,6.1342,2.5831,2.5529,0.112,CB
3404.0,5.0524,2.5197,2.5949,0.0761,CB
3404.5,7.3552,2.5042,2.644,0.0424,CB
3405.0,15.5632,2.4641,2.627,0.0557,CB
3405.5,8.0694,5.3663,2.635,0.0745,CB
3406.0,5.7779,4.9832,2.657,0.0463,CB
3406.5,10.0499,8.0388,2.645,0.045,CB
3407.0,4.8079,6.7627,2.629,0.0467,CB
3407.5,6.3802,10.0409,2.606,0.0441,CB
3408.0,6.0313,9.5853,2.574,0.0648,CB
3408.5,5.5171,10.5861,2.6109,0.0722,CB
3409.0,7.4776,8.1825,2.635,0.0591,CB
3409.5,6.3141,7.489,2.5601,0.0682,CB
3410.0,5.2014,8.2409,2.5579,0.0801,CB
3410.5,5.4713,7.0897,2.54,0.0753,CB
3411.0,6.3492,5.3115,2.607,0.0566,CB
3411.5,6.5119,4.2481,2.6211,0.0509,CB
3412.0,5.7798,5.4394,2.567,0.0671,CB
3412.5,7.9725,6.927,2.6128,0.061,CB
3413.0,7.6176,7.7135,2.589,0.0584,CB
3413.5,6.4775,5.9376,2.599,0.0663,CB
3414.0,6.8279,5.4929,2.5611,0.0667,CB
3414.5,5.1157,8.3445,2.488,0.0863,CB
3415.0,4.2745,6.6989,2.477,0.0919,CB
3415.5,4.4373,11.9627,2.486,0.1084,CB
3416.0,4.7548,5.5027,2.503,0.0921,CB
3416.5,4.8991,3.0957,2.5979,0.0725,CB
3417.0,6.9763,3.1911,2.573,0.0715,CB
3417.5,11.8857,4.8528,2.4599,0.1053,CB
3418.0,9.8339,6.396,2.4889,0.1604,CB
3418.5,11.6427,5.2577,2.569,0.1321,CB
3419.0,5.2557,3.659,2.542,0.0677,CB
3419.5,5.8608,2.8961,2.532,0.0893,CB
3420.0,6.2376,9.4226,2.526,0.0874,CB
3420.5,5.2795,9.5832,2.5191,0.0888,CB
3421.0,5.9236,3.5483,2.5389,0.0945,CB
3421.5,6.817,4.1931,2.51,0.09,CB
3422.0,5.861000000000001,4.0302,2.517,0.0907,CB
3422.5,6.1889,4.1172,2.5761,0.0742,CB
3423.0,7.6448,4.0826,2.5861,0.0662,CB
3423.5,7.3722,3.806,2.595,0.0577,CB
3424.0,5.6233,4.5418,2.5531,0.0719,CB
3424.5,6.2522,5.8519,2.57,0.0654,CB
3425.0,6.474,5.7316,2.54,0.0635,CB
3425.5,4.7583,5.0893,2.528,0.0816,CB
3426.0,5.539,5.6584,2.602,0.0632,CB
3426.5,5.7955,5.0753,2.639,0.0499,CB
3427.0,4.1568,4.405,2.6281,0.0414,CB
3427.5,6.7175,8.024,2.596,0.0691,CB
3428.0,5.1133,11.039,2.498,0.0859,CB
3428.5,5.1995,5.5474,2.522,0.0993,CB
3429.0,6.2532,4.72,2.53,0.0903,CB
3429.5,5.8776,3.9652,2.589,0.071,CB
3430.0,7.561,4.5774,2.602,0.0505,CB
3430.5,4.0949,5.7037,2.5909,0.0556,CB
3431.0,3.655,8.0675,2.565,0.0668,CB
3431.5,5.5988,20.081,2.588,0.05400000000000001,CB
3432.0,9.4566,6.7613,2.634,0.0541,CB
3432.5,5.2317,8.4585,2.65,0.0363,CB
3433.0,4.3834,9.8754,2.644,0.027,CB
3433.5,7.0638,6.8806,2.639,0.0291,CB
3434.0,3.8735,21.2846,2.654,0.021,CB
3434.5,4.5171,21.1124,2.68,0.0135,CB
3435.0,5.4354,21.803,2.605,0.0281,CB
3435.5,4.3691,45.9111,2.625,0.0398,CB
3436.0,6.9435,27.8266,2.587,0.065,CB
3436.5,5.9079,13.6118,2.5051,0.0764,CB
3437.0,5.7946,19.1853,2.5689,0.083,CB
3437.5,4.1451,12.2932,2.604,0.0413,CB
3438.0,5.7655,6.1973,2.696,0.0336,CB
3438.5,5.7027,5.9216,2.664,0.0254,CB
3439.0,6.7078,15.9307,2.615,0.0414,CB
3439.5,9.1497,18.9602,2.5721,0.0727,CB
3440.0,4.7831,17.9339,2.5479,0.0813,CB
3440.5,4.8327,15.8526,2.544,0.0847,CB
3441.0,6.2293,7.0919,2.5998,0.0616,CB
3441.5,6.9462,4.4922,2.618,0.0526,CB
3442.0,6.9303,3.8192,2.6091,0.0441,CB
3442.5,7.5828,6.8911,2.612,0.0501,CB
3443.0,7.4452,10.32,2.633,0.057,CB
3443.5,6.8394,14.3238,2.613,0.0596,CB
3444.0,6.6204,13.3128,2.582,0.0726,CB
3444.5,6.1161,7.7686,2.5471,0.0689,CB
3445.0,6.9359,6.354,2.561,0.083,CB
3445.5,5.6916,4.4978,2.569,0.0791,CB
3446.0,5.7347,4.7227,2.5501,0.0712,CB
3446.5,6.5036,5.059,2.503,0.0733,CB
3447.0,4.6231,4.7775,2.525,0.0956,CB
3447.5,5.1453,3.7795,2.637,0.079,CB
3448.0,6.7128,3.8593,2.649,0.0563,CB
3448.5,7.3059,8.0019,2.647,0.051,CB
3449.0,11.0026,10.3547,2.6449,0.0484,CB
3449.5,8.633,4.7777,2.6061,0.0343,CB
3450.0,7.1791,13.8239,2.645,0.0371,CB
3450.5,10.2761,18.3381,2.64,0.0501,CB
3451.0,6.3196,7.1769,2.626,0.0494,CB
3451.5,8.5387,8.9415,2.6031,0.0641,CB
3452.0,7.4883,9.8339,2.611,0.069,CB
3452.5,12.8078,6.8026,2.5711,0.08199999999999999,CB
3453.0,5.829,4.6484,2.542,0.0719,CB
3453.5,6.4134,5.6469,2.6079,0.0669,CB
3454.0,4.1629,5.9566,2.613,0.0568,CB
3454.5,6.5407,10.0641,2.612,0.0542,CB
3455.0,5.3491,9.5703,2.6239,0.0651,CB
3455.5,6.2726,6.9378,2.638,0.0484,CB
3456.0,5.758999999999999,16.4119,2.634,0.0388,CB
3456.5,6.6536,16.9559,2.647,0.0405,CB
3457.0,5.9015,15.5938,2.6391,0.0362,CB
3457.5,8.1259,16.418,2.621,0.0379,CB
